a	(prep) to	(N/A) to	
sala a attender	(N/A) waiting room	
a-	(prefixo) a-	
Aachen	(npr) Aachen	
ab	(prep) since	
abandonamento	(n) abandonment	
abandonar	(v) abandon	
abandonar se a	(N/A) indulge in	
abandono	(n) abandonment	
abassamento	(n) lowering	
abassamento de un equation	(N/A) reduction of an equation	
abassar	(v) lower	
abassar un perpendicular	(N/A) drop a perpendicular	
abatter	(v) knock or cast down	
abattimento	(n) despondency	
abattite	(N/A) abatter	
abattitor	(n) one who knocks down	
abattitorio	(n) slaughterhouse	
abbate	(n) abbot	
abbatessa	(n) abbess	
abbatia	(n) abbacy	
abbatial	(adj) abbatial	
abbordabile	(adj) approachable	
abbordage	(n) boarding	
abbordar	(v) land	
abbordo	(n) landing	
abbreviamento	(n) abridgement	
abbreviar	(v) abridge	
abbreviation	(n) abbreviation	
abbreviative	(adj) abridging	
abbreviator	(n) abridger	
abbreviatura	(n) abbreviation	
abdicar	(v) abdicate	
abdication	(n) abdication	
abdicative	(adj) abdicative	
abdominal	(adj) abdominal	
abdomine	(n) abdomen	
abducer	(v) lead away	
abduct-	(v) lead away	
abduction	(n) abduction	
abductor	(n) abductor	
Abel	(nprm) Abel	
aberrante	(adj) aberrant	
aberrar	(v) deviate	
aberration	(n) aberration	
abhorrer	(v) abhor	
abhorribile	(adj) abominable	
abhorrimento	(n) abhorrence	
abiberar	(v) water	
abiberatorio	(n) watering-place	
abiete	(n) fir	
abiete de Canada	(N/A) hemlock	
-abile	(suffixo adjective) -able	
abiogenese	(n) abiogenesis	
abiogenesis	(n) abiogenesis	
abiogenetic	(adj) abiogenetic	
abject-	(see) abjic-	
abjecte	(adj) abject	
abjection	(n) abjection	
abjurar	(v) abjure	
abjuration	(n) abjuration	
ablandar	(v) soften	
ablativo	(n) ablative	
ablativo absolute	(N/A) ablative absolute	(N/A) ablative absolute	
abluer	(v) wash	
ablut-	(v) wash	
ablution	(n) ablution	
abnegar	(v) deny oneself	
abnegation	(n) abnegation	
abolimento	(n) abolishment	
abolir	(v) abolish	
abolition	(n) abolition	
abolitionismo	(n) abolitionism	
abolitionista	(n) abolitionist	
abominabile	(adj) abominable	
abominar	(v) abominate	
abomination	(n) abomination	
abonamento	(n) subscription	
abonar	(v) enter the subscription of	(v) improve	
abonar se	(N/A) subscribe	
aborigines	(npl) aborigines	
abort-	(see) abor-	
abortamento	(n) miscarriage	
abortar	(v) miscarry	
abortive	(adj) abortive	
aborto	(n) abortion	
ab ovo	(N/A) ab ovo	
abrader	(v) abrade	
abras-	(v) abrade	
abrasion	(n) abrasion	
abrasive	(adj) abrasive	
abrogabile	(adj) abrogable	
abrogar	(v) abrogate	
abrogation	(n) repeal	
abrogative	(adj) abrogative	
abrogator	(n) abrogator	
abrogatori	(adj) rescinding	
abrumper	(v) break off	
abrupt-	(v) break off	
abrupte	(adj) abrupt	
Abruzzi	(nprpl) Abruzzi	
Absalom	(nprm) Absalom	
absceder	(v) form an abscess	
abscess-	(v) form an abscess	
abscesso	(n) abscess	
abscinder	(v) cut off	
absciss-	(v) cut off	
abscissa	(n) abscissa	
absentar se	(N/A) absent oneself	
absente	(adj) absent	
absentia	(n) absence	
brillar per su absentia	(N/A) be conspicuous by one's absence	(N/A) be conspicuous by one's absence	
absentismo	(n) absenteeism	
absentista	(n) absentee	
absinthic	(adj) absinthial	
absinthina	(n) absinthin	
absinthio	(n) absinthe	
absinthismo	(n) absinthism	
absolut-	(v) absolve	
absolute	(adj) absolute	
temperatura absolute	(N/A) absolute temperature	
absolution	(n) absolution	
absolutismo	(n) absolutism	
absolutista	(n) absolutist	
absolutor	(n) absolver	
absolutori	(adj) absolutory	
absolver	(v) absolve	
absorbente	(adj) absorbent	(n) absorbent	
absorbentia	(n) absorbency	
absorber	(v) absorb	
absorbite in	(N/A) absorbed in	
absorbibile	(adj) absorbable	
absorpt-	(v) absorb	
absorption	(n) absorption	
abstent-	(see) abstiner	
abstention	(n) abstention	
abstentionista	(n) abstentionist	
abstinente	(adj) abstemious	
abstinentia	(n) abstinence	
abstiner se de	(N/A) abstain from	
abstract-	(v) abstract	
abstracte	(adj) abstract	
abstraction	(n) abstraction	
abstraher	(v) abstract	
abstruder	(v) thrust away	
abstrus-	(v) thrust away	
abstruse	(adj) abstruse	
absurde	(adj) absurd	
absurditate	(n) absurdity	
abuccamento	(n) seizing	
abuccar	(v) seize	
abuccar se	(N/A) come or get together	
abundante	(adj) abundant	
abundantia	(n) abundance	
corno del abundantia	(N/A) cornucopia	(N/A) cornucopia	
abundar	(v) abound	
abus-	(see) abut-	
abusar de	(N/A) abuse	
abusator	(n) abuser	
abusive	(adj) abusive	
abuso	(n) abuse	
