"rakkaudet","loves"
"rakkauksien","(of) loves"
"rakkauksia","(part of) loves"
"rakkauksissa","(in) loves"
"rakkauksista","(out of) loves"
"rakkauksiin","(into) loves"
"rakkauksilla","(at) loves"
"rakkauksilta","(from) loves"
"rakkauksille","(onto) loves"
"rakkauksina","(as) loves"
"rakkauksiksi","(into) loves"
"rakkauksin","(with) loves"
"rakkauksitta","(without) loves"
"rakkauksineen","(together with) loves"
"rakkaus","love"
"rakkauden","love"
"rakkauden","(of) love"
"rakkautta","(part of) love"
"rakkaudessa","(in) love"
"rakkaudesta","(out of) love"
"rakkauteen","(into) love"
"rakkaudella","(at) love"
"rakkaudelta","(from) love"
"rakkaudelle","(onto) love"
"rakkautena","(as) love"
"rakkaudeksi","(into) love"
"rakkaudetta","(without) love"

"minä rakastan","I love"
"sinä rakastat","you love"
"hän rakastaa","he loves"
"me rakastamme","we love"
"te rakastatte","y'all love"
"he rakastavat","they love"
"rakastetaan","is loved"
