"tsit","stopped"
"tsam","direct"
"tsam","directly"
"clok","chocolate"
"pyun","brown"
"hgoc","multiply"
"plus","add"
"tron","orange"
"dwik","divide"
"gret","subtract"
"ksuh","declarative mood"
"mrum","computer program"
"prom","programmer"
"kwim","quiz"
"hwaf","perfect"
"hrum","repair"
"swim","system"
"hpa7t","topsoil"
"tla2t","jumped"
"fran","flying"
"slip","slip"
"tsih","here"
"klah","there"
"pcam","pray"
"hsu7t","astray"
"kwon","dictionary"
"mwon","mandarin"
"qris","english"
"nyif","connotation"
"ryan","translation"
"hkes","complex"
"psas","produce"
