"ca","hello"
"tlan","god"
"li","realis mood"
"tu","deontic mood, commands"
"si","epistemic mood, possibilities"
"psi","optative mood, wishes, hopes, please"
"hpas","son"
"hcis","wife"
"pyan","love"
"hyap","king"
"hcun","hear"
"gi","named"
"ka","accusative case"
"na","nominative case"
"yi","dative case"
"yu","instrumental case"
"pwih","ablative case"
"lwoh","locative case"
"fa","perfective aspect"
"me","imperfective aspect"
"mi","me"
"sa","you"
"nyah","us"
"wi","all"
"dwah","yeah"
"cyoh","dimunitive particle"
"tlah","elective quantifier"
"tlih","assertive quantifier"
"no","negatory quantifier"
"slac","run"
"pfin","walk"
"rwik","vertical"
"bjut","squat"
"hlaf","stay"
"kcak","food"
"krut","bite"
"hput","help"
"fwak","judge"
"tfet","manufacturer"
"hbik","bless"
"hmut","lost"
"htop","curse"
"kyaf","thanks"
"kyah","thank you"
"bi","future tense"
"ki","past tense"
"ra","present tense"
"hl6s","lotus"
"crun","treasure"
"nweh","inessive case"
"hguc","thirst"
"hcac","hungry"
"hjon","sexual"
"swum","spiritual"
"hdek","secular"
"tcut","religion"
"hjus","jesus"
"swut","holy"
"kwan","light"
"tcif","pointed"
"hsat","see"
"srik","seed"
"pf6n","pollination"
"hp6n","send"
"hwic","water"
"txa2k","firewood"
"nyic","dressed"
"tyun","domain"
"gren","planet"
"ksom","kosmos"
