"hfac","family"
"gwin","swing"
"hcop","stove"
"cyis","chair"
"grap","grab"
"ksu7s","crossbow"
"hsom","salt"
"hyam","night"
"kcim","unlimited"
"ryik","chemical"
"jyin","engineering"
"se","time context"
"hlen","license"
"plat","wall"
"broc","brush"
"tlis","teeth"
"pyic","required"
"hgak","cat"
"klak","dog"
"sluk","squirrel"
"sruc","stink"
"hs6t","restroom"
"tu","deontic mood, do"
"ri","interrogative mood, ?"
"psi","optatative mood, please"
"so","source case"
"te","location case"
"ga","way case"
"ma","destination case"
"tlap","floor"
"hrat","roof"
"ce","under"
"nu","interior"
"pi","surface"
"se","time"
"to","space"
"pa","person"
"po","paucal number, few"
"do","number signifier"
"fyih","floating point number"
"pu","plural number"
"tl6h","multal number, many"
"gluh","singulative number, one"
"dluh","dual number, couple"
"pc6h","trial number, several, three"
