"cyeh","wonder"
"pcef","reptile"
"no","none"
"kcot","gather"
"wi","all"
"hcic","down"
"bveh","subessive case, under"
"hbon","varied"
"ba","and-or"
"hlaf","stay"
"ka","accusative case"
"wa","and"
"hdak","shop"
"psut","objects"
"ya","it"
"cwak","evil"
"hbec","benevolent"
"kluc","tool"
"brin","inner"
"cluh","ugly"
"myih","beautiful"
"hpat","person"
"clas","yellow"
"hzan","containing"
"kcik","fish"
"hcum","noise"
"hmik","music"
"hlam","come"
"dlit","leaf"
"hkot","capacity"
"hyum","using"
"yu","instrumental case, by"
"hpep","apple"
"pcah","also"
"krot","cutting"
"tcot","solid matter"
"hduc","dust"
"cwat","air"
"hron","colour"
"hcun","hear"
"cwen","flock"
"hsim","sleep"
"plun","blue"
"ksin","green"
"hyuk","red"
"hmas","mind"
"nyic","dressed"
"tlin","cold"
"cyon","tiny"
"cyoh","dimunitive particle"
"lyan","long"
"vlat","flat"
"lwoh","locative case, at"
"hsun","hand"
"hsat","see"
"plin","opening"
"tyun","domain"
"hyat","parental"
"pcan","money"
"hcin","feminine gender"
"mi","me"
"nyah","us"
"ne","masculine gender"
"kcak","food"
"mwan","death"
"pcin","behind"
"mwuh","moo"
"mwas","month"
"plan","play"
"treh","comparative_degree"
"klok","excess"
"hnuc","number"
"myuk","fool"
"hmis","wise"
"kfan","conduct"
"slat","hill"
"ksah","proximal"
"tsuh","distal"
"tcas","place"
"hsak","time"
"tlat","word"
"gi","named"
"hnim","name"
"pyas","foot"
"ca","hey"
"kyac","eye"
"pyan","love"
"pu","plural"
"croc","error"
"twot","activity"
"kxam","rod"
"mran","corn/grain"
"kwin","giving"
"pyak","brother"
"ti","genitive case, 's "
"cyit","heart"
"hkis","black"
"kwan","light"
"tlic","finally, end"
"hsek","insect"
"syaf","sides"
"myen","similarly"
"hfuk","fire"
"sraf","outdoor"
"ke","what"
"hkuc","high"
"tcic","body"
"hyuc","round"
"syac","fresh"
"sa","you"
"hyif","forward"
"hfoc","photograph"
"hkut","know"
"hjaf","mammal"
"pyaf","bird"
"djan","giant"
"tcin","day"
"tyas","table"
"hmic","sweet"
"pwih","ablative case, from"
"tyuh","only"
"yi","dative case, to"
"pwah","benefactive case, for"
"hwic","water"
"pyac","language"
"hwos","bedroom/room"
"hcas","house"
"zron","zero"
"hyik","one"
"tyut","two"
"hjon","sexual"
"hmuf","mouth"
"htok","conflict"
"hpit","white"
"nrit","energy"
"hmut","lost"
"psaf","absence"
"twin","desire"
