"hbif","ice"
"myic","rain"
"hmun","soft"
"hbot","ball"
"hgot","frozen"
"hgothmipmyic","freezing rain"
"twi7k","spangle"
"twi7khbif","snow"
"twi7khbif","snowflake"
"hbotmyic","hail rain"
"hbifmyic","snow rain"
"hpithbif","white ice (snow)"
"hbotmyic","ball rain (hail)"
"hbifmyic","ice rain (snowing)"
"drip","dribble"
"gvot","droplet"
"hret","firm"
"hjec","melt"
"hcun","hear"
"sruc","smell"
"sruc","stink/smell"
"mwat","taste"
"hcik","think"
"hsat","see"
"tcum","touch"
"nrec","sensory"
"xyek","emotionally"
"bwet","bowel"
"bwet","bowels"
"krok","skull"
"kyuk","neck"
"cyit","heart"
"ksot","bone"
"mric","muscle"
"mriccwet","muscle leash (tendon)"
"ksotcwet","bone leash (joint)"
"hnus","nose"
"kyac","eye"
"hsun","hand"
"pyas","foot"
"kcoc","elbow"
"cwac","shoulder"
"hwet","stomach"
"gri7t","pineal"
"gyam","anus"
"hgik","knee"
"hcu7k","shinbone"
"hsu7t","astray"
"pyat","friend"
"nwas","news"
"bwon","bean"
"hwus","text"
"hpuk","book"
"plam","alarm"
"hkop","cup"
"syuk","spoon"
"cyi7t","chopsticks"
"clut","hammer"
"kcok","axe"
"nwis","nails"
"syan","truth"
"cyin","lie"
"hfet","oppose"
"dlak","discuss"
"ta","topic case"
"wu","vocative case"
"zi","quoted"
"kwic","foreign"
"zron","zero"
"hyik","one"
"tyus","two"
"tyin","three"
"ksas","four"
"hfak","five"
"hlis","six"
"hsip","seven"
"hwap","eight"
"twun","nine"
"htip","ten"
"slen","eleven"
"tfat","twelve"
"tses","thirteen"
"hses","fourteen"
"hpet","fifteen"
"lu","speculative mood"
"hket","awake"
"hpuc","drink"
"nyun","warm"
"hcif","skin"
"hmot","meat"
"ksot","bone"
"cyac","blood"
"hyet","oil"
"dyan","egg"
"mwih","permissive mood"
"hlif","profit"
"hyof","beneficial"
"hdon","donate"
"hwaf","perfect"
"go","gnomic aspect"
"nren","inspiration"
"pfun","partially"
"ryap","rearrange"
"rwoc","sequential"
"cyoc","challenging"
"hfan","found"
"ko","clause tail"
"lyac","learn"
"ryin","training"
"hcec","teaching"
"kres","verb"
"hkic","between"
"kcac","left"
"kwos","clockwise"
"nruc","urine"
"hyis","feces"
"mric","muscle"
"ryah","laugh"
"hbic","ruin"
"hpam","first"
