"sris","history"
"hdun","judaism"
"hma2n","plains"
"mr6k","america"
"pcos","sports"
"hbot","ball"
"tfetpcos","lacross, creator's game"
"clit","pocket"
"kxam","rod"
"syuc","tree"
"syuk","spoon"
"kyuk","neck"
"syafplat","sidewall"
"slot","shoot"
"hrop","rope"
"psak","pass"
"rwih","precative mood, please"
"dwak","pluck"
"tu","deontic mood, should"
"pcih","imperative mood, do, command"
"tsas","cast, throw"
"grap","grab"
"hmun","soft"
"cwat","air"
"pyic","required"
"slak","success, win"
"hpam","first"
"tlit","second"
"hdon","donate"
"zlan","earn"
"hkun","account"
"rwan","reward"
"hrak","staff"
"hgo2t","goalpost"
"hgot","frozen"
"pcoc","pole"
"kyaf","thank"
"hwep","web"
"bvik","subessive case, under"
"hsan","surface context, over"
"pi","on"
"bveh","under"
"hsun","hand"
"hsanhsun","overhand"
"bvikhsun","underhand"
"hyik","one"
"tyut","two"
"do","number"
"tyin","three"
"cluc","cunning"
"clac","health"
"pyas","foot"
"grat","arrest"
"hrun","roll"
"hlok","leap"
"hlok","leap, bounce"
"hlok","leap, bounce, jump"
"psam","posture"
"bjut","squat"
"slac","running"
"truk","knock"
"sraf","outdoor"
"myic","rain"
"blen","shiny"
"hnec","sunshine"
"hguc","thirsty"
"hwic","water"
"hcac","hungry"
"hs6t","restroom"
"kcot","gather"
"cri7t","coterie, huddle"
"crit","abandon"
"trec","strategy"
"bluk","tactic"
"ryin","training"
"dlah","enjoy"
"hcot","enjoy"
"hluk","tired"
"hsim","sleep"
"twin","desire"
"zlat","glove"
"kwip","intervene"
"lyut","wrestle"
"pfin","walk"
"hkin","go"
"hlam","come"
"tlan","god"
"tfet","manufacturer"
"tlanpcos","god's game, lacross"
"lyis","forestry"
"hgan","hide"
"fli2t","waylay, ambush"
"flit","fly"
"ya","it"
"gxih","common gender"
"tcih","hortatative mood"
"pcin","behind"
"hyif","forward"
"gwic","switch"
"cwas","begin"
"htas","again"
"hzot","termination, end"
"plan","play"
"hlot","planned"
"cyoc","challenging"
"hsi2s","easier"
"fluc","fluent"
"hfun","anger"
"hcuc","fear"
"pyan","love"
"hson","pardon"
"hyof","beneficial"
"twot","activity"
"hlap","semelfactive aspect"
"twothlap","action"
"hkot","capacity"
"swah","semelfactive aspect grammar"
"truc","steal"
"hfep","frequentative aspect"
"hlokhfep","bouncing"
"ra","present tense"
"ra2","frequentative aspect"
"hkuc","high"
"hcic","down"
"tsasgraphfep","juggle"
"nyat","attack"
"tfen","defending"
"tsim","season"
"tcun","done"
"hcuk","focus"
"pcuc","discharge"
"tren","today"
"hpot","available"
"pxi7t","fetid, putrid"
"byic","bacteria"
"cyum","yeast"
"frun","rot"
"pyun","brown"
"claf","shelf"
"claffrun","shelf mushroom"
"kwut","coat"
"kwutfrun","mold, coat rot"
"cyisfrun","toadstool, chair mushroom"
"cyis","chair"
"fro7t","fibroid"
"fro7tfrun","mycelium, fibroid rot"
"hpitfrun","white rot"
"pyunfrun","brown rot fungi"
"hpitfrun","white rot fungi"
"hmup","hat"
"gwit","spine"
"kr6n","roots"
