"gric","migration" 
"pcam","pray"
"hra2f","archivist"
"twac","window"
"cret","traces"
"hsem","summit"
"hdic","disk"
"hpu7t","crumbled"
"rwes","tracer"
"trat","print"
"psin","weight"
"dla7n","footprint"
"pcuc","discharge, release"
"tcam","enemy"
"pyat","friend"
"cyan","peace"
"hdan","devil"
"tlan","god"
"htet","angel"
"hba2n","haunted"
"hde7m","daemon"
"clun","oak"
"kx6n","chestnut"
"srik","seed"
"xlut","houseplant"
"cyuc","heat"
"fyih","floating point number (.)"
"syih","equally (=)"
"prop","fertile"
"nyik","mud"
"frip","pottery"
"hduc","dust"
"hyis","poor"
"hras","sand"
"jlut","loam"
"pwac","stone"
"hpa7t","topsoil"
"drut","descriptive"
"hmim","medium"
"hs6s","puddles"
"slat","hill"
"lwis","alkaline"
"flat","acid"
"slip","slip"
"frus","corroding"
"lyis","forestry"
"prik","passive"
"hxaf","excavate"
"sras","nest"
"myup","seedlings"
"pfot","pot"
"nra2t","conservatory, glasshouse, greenhouse"
"cyas","bear"
"flik","fox"
"mwuk","mink, ermine, weasel"
"hsif","lion"
"sluk","squirrel"
"kxek","crab"
"pso7s","opossum"
"kcik","fish"
"hpep","apple, fruit"
"bwon","bean"
"plap","pod, vagina, stigma"
"pl6p","petals"
"hmap","rose, flower"
"psan","half"
"htut","none"
"pcim","fullfill, full"
"hjen","feminine, female"
"nyan","male, masculine"
"hgat","desert, drought"
"kyuc","dry"
"tcup","damp"
"hja7n","wetting, wettness"
"hsom","salt"
"tfo2n","nitrogen fixing"
"nrok","nitrogen"
